MaChuongTrinh,TenChuongTrinh,MaTruong
BF-E12,Kỹ thuật Thực phẩm,SCLS
BF-E19,Kỹ thuật Sinh học,SCLS
BF1,Kỹ thuật Sinh học,SCLS
BF2,Kỹ thuật Thực phẩm,SCLS
CH-E11,Kỹ thuật Hóa dược,SCLS
CH1,Kỹ thuật Hóa học,SCLS
CH2,Hóa học,SCLS
ED2,Công nghệ Giáo dục,FED
ED3,Quản lý Giáo dục,FED
EE-E18,Hệ thống điện và năng lượng tái tạo,SEEE
EE-E8,Kỹ thuật điều khiển-Tự động hóa,SEEE
EE-EP,Tin học công nghiệp và Tự động hóa,SEEE
EE1,Kỹ thuật điện,SEEE
EE2,Kỹ thuật điều khiển & Tự động hóa,SEEE
EM-E13,Phân tích Kinh doanh,SEM
EM-E14,Logistics và Quản lý chuỗi cung ứng,SEM
EM1,Quản lý Năng lượng,SEM
EM2,Quản lý Công nghiệp,SEM
EM3,Quản trị Kinh doanh,SEM
EM4,Kế toán,SEM
EM5,Tài chính-Ngân hàng,SEM
ET-E16,Truyền thông số và Kỹ thuật đa phương tiện,SEEE
ET-E4,Kỹ thuật Điện tử - Viễn thông,SEEE
ET-E5,Kỹ thuật Y sinh,SEEE
ET-E9,Hệ thống nhúng thông minh và IoT,SEEE
ET-LUH,Điện tử - Viễn thông,SEEE
ET1,Kỹ thuật Điện tử-Viễn thông,SEEE
ET2,Kỹ thuật Y sinh,SEEE
EV1,Kỹ thuật Môi trường,SCLS
EV2,Quản lý Tài nguyên và Môi trường,SCLS
FL1,Tiếng Anh KHKT và Công nghệ,SOFL
FL2,Tiếng Anh chuyên nghiệp quốc tế,SOFL
FL3,Tiếng Trung KH&KT,SOFL
HE1,Kỹ thuật Nhiệt,SME
IT-E10,Khoa học Dữ liệu & Trí tuệ nhân tạo,SOICT
IT-E15,An toàn không gian số,SOICT
IT-E6,Công nghệ Thông tin Việt – Nhật,SOICT
IT-E7,Công nghệ Thông tin Global ICT,SOICT
IT-EP,Công nghệ Thông tin Việt-Pháp,SOICT
IT1,Khoa học Máy tính,SOICT
IT2,Kỹ thuật Máy tính,SOICT
ME-E1,Kỹ thuật Cơ điện tử,SME
ME-GU,Cơ khí Chế tạo máy,SME
ME-LUH,Cơ điện tử,SME
ME-NUT,Cơ điện tử,SME
ME1,Kỹ thuật Cơ điện tử,SME
ME2,Kỹ thuật Cơ khí,SME
MI1,Toán-Tin,FAMI
MI2,Hệ thống Thông tin quản lý,FAMI
MS-E3,Khoa học và Kỹ thuật Vật liệu,SMSE
MS1,Kỹ thuật Vật liệu,SMSE
MS2,Kỹ thuật Vi điện tử và Công nghệ nano,SMSE
MS3,Công nghệ vật liệu Polyme và Compozit,SMSE
MS5,Kỹ thuật In,SMSE
PH1,Vật lý Kỹ thuật,SEP
PH2,Kỹ thuật Hạt nhân,SEP
PH3,Vật lý Y khoa,SEP
SOFL,Khoa Ngoại ngữ,SOFL
TE-E2,Kỹ thuật Ô tô,SME
TE-EP,Cơ khí Hàng không,SME
TE1,Kỹ thuật Ô tô,SME
TE2,Kỹ thuật Cơ khí động lực,SME
TE3,Kỹ thuật Hàng không,SME
TROY-BA,Quản trị Kinh doanh - ĐH Troy,SEM
TROY-IT,Khoa học Máy tính - ĐH Troy,FAMI
TX1,Công nghệ Dệt May,SME
